geo_shape;objectid;geo_point_2d;nom_region;departement
"{""coordinates"": [[1.751539884756322, 50.65611976910195], [1.751492015226565, 50.656112116827686], [1.751321877480089, 50.6561476261943], [1.750980729028591, 50.65620263286235], [1.750870618063046, 50.65620034081418], [1.746446284130702, 50.65287602329694], [1.725452950584153, 50.64588421638983]], ""type"": ""LineString""}";5148;50.650549672027125, 1.738796394986589;Hauts-de-France;Pas-de-Calais
"{""coordinates"": [[1.658263450265655, 50.514567157760354], [1.659891706506826, 50.52859690647446], [1.6444356458789, 50.547262245599484], [1.649430862388068, 50.57160948799801], [1.649443050453202, 50.571643758008896], [1.648142674894898, 50.57288071515948], [1.642266398665224, 50.59434925571981], [1.640794232172169, 50.60241074652332]], ""type"": ""LineString""}";5149;50.55760292239364, 1.6492260481966783;Hauts-de-France;Pas-de-Calais
"{""coordinates"": [[1.618910484829942, 50.58949506970575], [1.618955800570824, 50.58952595882762]], ""type"": ""LineString""}";5151;50.589510514266685, 1.618933142700383;Hauts-de-France;Pas-de-Calais
"{""coordinates"": [[1.741489952252751, 50.794083918153085], [1.742095555769638, 50.79440333559221], [1.768248439532074, 50.79837251807875], [1.782592610099989, 50.809080726225645]], ""type"": ""LineString""}";5159;50.7992721270716, 1.7630164725061186;Hauts-de-France;Pas-de-Calais
"{""coordinates"": [[3.362872624029674, 50.3120017350405], [3.36070387419154, 50.318950856408144], [3.360056240125742, 50.32270934944541]], ""type"": ""LineString""}";5163;50.31731689370675, 3.3613041234841785;Hauts-de-France;Nord
"{""coordinates"": [[3.906533570418711, 50.270369986284145], [3.908540912194015, 50.27105390099662]], ""type"": ""LineString""}";5183;50.27071194364038, 3.907537241306363;Hauts-de-France;Nord
"{""coordinates"": [[3.901423896753421, 50.27513430349683], [3.886694439838709, 50.27579258528727], [3.887487164075085, 50.27901540074235], [3.887626493982288, 50.27926080838195], [3.887543856765999, 50.27938195135339], [3.873124000467312, 50.29731037801465], [3.861813780500953, 50.30083403843219], [3.816721749915007, 50.31461678844431]], ""type"": ""LineString""}";5184;50.29641244551395, 3.861817674848913;Hauts-de-France;Nord
"{""coordinates"": [[3.899407747330911, 50.24463529900621], [3.909363837542699, 50.24895508296492]], ""type"": ""LineString""}";5189;50.246795190985566, 3.904385792436805;Hauts-de-France;Nord
"{""coordinates"": [[3.933063365212922, 50.28721253538436], [3.960505222017781, 50.29388996235608]], ""type"": ""LineString""}";5195;50.29055124887022, 3.9467842936153517;Hauts-de-France;Nord
"{""coordinates"": [[4.010407507800966, 50.28964875575258], [4.025061916720135, 50.29272992646639]], ""type"": ""LineString""}";5201;50.29118934110949, 4.017734712260551;Hauts-de-France;Nord
"{""coordinates"": [[4.028043743856412, 50.28609884520613], [4.027038696764731, 50.28706235137003], [4.025061916720135, 50.29272992646639]], ""type"": ""LineString""}";5205;50.28927188379924, 4.026331018255482;Hauts-de-France;Nord
"{""coordinates"": [[3.496116906607897, 50.142558321889226], [3.51719673487462, 50.15285120917247], [3.53295991256196, 50.161257635483075]], ""type"": ""LineString""}";5220;50.15174676688076, 3.5146207216113927;Hauts-de-France;Nord
"{""coordinates"": [[3.53295991256196, 50.161257635483075], [3.500497196636771, 50.1775568612007]], ""type"": ""LineString""}";5221;50.169407248341884, 3.516728554599366;Hauts-de-France;Nord
"{""coordinates"": [[3.603177702838065, 50.18016819859227], [3.605895999653411, 50.18359945741071]], ""type"": ""LineString""}";5232;50.18188382800149, 3.604536851245738;Hauts-de-France;Nord
"{""coordinates"": [[3.53295991256196, 50.161257635483075], [3.554415291925505, 50.17181594274146], [3.559606379640047, 50.175060248719916], [3.587113699220756, 50.18937857999433], [3.587759691094644, 50.1896564282946]], ""type"": ""LineString""}";5235;50.17535871613162, 3.5604085819697713;Hauts-de-France;Nord
"{""coordinates"": [[3.658956925666081, 50.232760828628095], [3.656880373415529, 50.2296692076879], [3.65165893014835, 50.22187018098484], [3.618203952725, 50.2063919804627], [3.612435195453751, 50.2039329379549], [3.599892162962417, 50.195404866518956], [3.595689872187577, 50.19312053880031], [3.587779633186696, 50.18975019308777]], ""type"": ""LineString""}";5242;50.209497202025624, 3.625009769424993;Hauts-de-France;Nord
"{""coordinates"": [[3.305545917525186, 50.00472463334311], [3.323774198376512, 50.017294326100405], [3.346339555240037, 50.03358706871762], [3.377507511758263, 50.05572162552041], [3.416900549983753, 50.077542683941864], [3.428009140675989, 50.08732196572753], [3.446158987257749, 50.100964077388255], [3.45470690383202, 50.1060349251735]], ""type"": ""LineString""}";5243;50.05559974080192, 3.380058304075545;Hauts-de-France;Nord
"{""coordinates"": [[3.108637523644873, 49.87275259747185], [3.124226933408347, 49.87227330251667], [3.144801208503582, 49.869410038696344]], ""type"": ""LineString""}";5249;49.87155838903113, 3.126759778217565;Hauts-de-France;Aisne
"{""coordinates"": [[2.960465139841632, 49.78436682201729], [2.967479071953546, 49.7878228917879], [2.968474806448259, 49.78803898605998]], ""type"": ""LineString""}";5251;49.78630653230005, 2.964433808954099;Hauts-de-France;Somme
"{""coordinates"": [[3.057832964319302, 49.883697597995], [3.052922738042291, 49.885413859247855], [3.032316760469227, 49.893831573992315], [3.025086248787872, 49.89764815078686], [2.995994180814882, 49.917179925336676], [2.995334985899637, 49.9190888874606]], ""type"": ""LineString""}";5260;49.89931582504929, 3.0252001403124607;Hauts-de-France;Somme
"{""coordinates"": [[2.795346595453522, 49.70371683621168], [2.795901323499856, 49.70396949197679]], ""type"": ""LineString""}";5262;49.70384316409424, 2.795623959476689;Hauts-de-France;Somme
"{""coordinates"": [[2.800660291634447, 49.65050731683122], [2.803636710102004, 49.653678444635055], [2.810354568598997, 49.660407113146015], [2.825914415790517, 49.674261786771844], [2.842727875722427, 49.687523447427445], [2.849711393472744, 49.693098702867985]], ""type"": ""LineString""}";5263;49.67243140363411, 2.8246250767226275;Hauts-de-France;Somme
"{""coordinates"": [[2.849711393472744, 49.693098702867985], [2.834445603161267, 49.69690032973874], [2.803984839850821, 49.70217727531232], [2.795901323499856, 49.70396949197679]], ""type"": ""LineString""}";5265;49.698771474124435, 2.8228585765927443;Hauts-de-France;Somme
"{""coordinates"": [[2.849711393472744, 49.693098702867985], [2.86284034615813, 49.702668169372146], [2.879231454662674, 49.714845075336065], [2.892033574325993, 49.72573077031936], [2.915050815721386, 49.745301547845386], [2.920415878134621, 49.751137867454304], [2.931429025219877, 49.76063427663831], [2.931542296871705, 49.76070790719125]], ""type"": ""LineString""}";5268;49.72598183344339, 2.8913969204670162;Hauts-de-France;Somme
"{""coordinates"": [[2.947479681074331, 49.75289859000307], [2.940612797543793, 49.7567666651128], [2.937820650311815, 49.757374538068426], [2.932735615793647, 49.76003007222871], [2.931921853042313, 49.76069758069031]], ""type"": ""LineString""}";5275;49.756796093363825, 2.9396856355654384;Hauts-de-France;Somme
"{""coordinates"": [[2.793063062047222, 49.80491151357096], [2.788291501284892, 49.80635586706437], [2.782876964310191, 49.807595180663334], [2.780666802556312, 49.80809648348298], [2.768787062674143, 49.810548807173255]], ""type"": ""LineString""}";5280;49.80792810249963, 2.780974491697444;Hauts-de-France;Somme
"{""coordinates"": [[2.710850219401875, 49.82871522871583], [2.696474183910471, 49.832498656610774], [2.690169217016745, 49.83424031224058], [2.648457594889846, 49.8458177673956]], ""type"": ""LineString""}";5289;49.83719072173106, 2.6796334095185546;Hauts-de-France;Somme
"{""coordinates"": [[2.710850219401875, 49.82871522871583], [2.695807368097601, 49.83260730245897], [2.690131064676589, 49.83417348232003], [2.648457594889846, 49.8458177673956]], ""type"": ""LineString""}";5290;49.83715259685392, 2.679623228187384;Hauts-de-France;Somme
"{""coordinates"": [[2.309541187638088, 49.86054685835714], [2.296441308277401, 49.86215506454468], [2.284787169705894, 49.86347423838412], [2.28306686333855, 49.86384904482921], [2.269584466651837, 49.865788425188626]], ""type"": ""LineString""}";5296;49.863049616382064, 2.289546317237307;Hauts-de-France;Somme
"{""coordinates"": [[2.465300072267037, 49.79736621260227], [2.463897556316487, 49.803439667716034], [2.489077375545149, 49.81462337637537], [2.496292900270996, 49.82285498182523], [2.496378711867552, 49.84090985251942], [2.502825107760666, 49.85004437192578], [2.506579888713937, 49.855610263583145]], ""type"": ""LineString""}";5301;49.82349056903542, 2.4877593384054597;Hauts-de-France;Somme
"{""coordinates"": [[2.414173437586184, 49.85680910409136], [2.414098959726944, 49.85684617384991], [2.413903916843258, 49.85700687674641], [2.40234320300983, 49.86895308903406], [2.389629191114715, 49.875947807070055], [2.395746025680071, 49.88390464901495], [2.393869639259785, 49.88806114103613]], ""type"": ""LineString""}";5303;49.87188782485381, 2.3996624405900078;Hauts-de-France;Somme
"{""coordinates"": [[2.908768281016812, 49.77042659448889], [2.908908654707652, 49.77044206314642], [2.909421779427452, 49.76961786379633], [2.912058432050005, 49.76876735041625]], ""type"": ""LineString""}";5304;49.76944716499934, 2.9102771148201385;Hauts-de-France;Somme
"{""coordinates"": [[2.265522529417231, 49.93772695646114], [2.265499266996156, 49.93748586131151], [2.26554128987889, 49.937445060521]], ""type"": ""LineString""}";5307;49.9375789623561, 2.265512724801209;Hauts-de-France;Somme
"{""coordinates"": [[2.181301190293594, 49.996125103539406], [2.165300599359575, 50.012653333647535], [2.137841213942815, 50.01804165827399], [2.123582067858984, 50.01907556219916]], ""type"": ""LineString""}";5317;50.012189290075376, 2.1546600032805094;Hauts-de-France;Somme
"{""coordinates"": [[2.279203540334982, 49.943311295672416], [2.279183794888619, 49.94334032947148], [2.277190063807431, 49.94770791119901], [2.276403790439709, 49.95003371346191], [2.27558153799981, 49.95037197285088], [2.264352219593916, 49.95890406307282], [2.260220021327167, 49.979904198379735], [2.25890378202348, 49.98689452891867], [2.252951720883768, 49.987920650037694]], ""type"": ""LineString""}";5318;49.966184396388, 2.2653700384643454;Hauts-de-France;Somme
"{""coordinates"": [[3.370035527950823, 49.79139731109816], [3.367064463282714, 49.78718220508503], [3.361585863019645, 49.77853862029497], [3.356556622760992, 49.77168984682549]], ""type"": ""LineString""}";5321;49.78149303559705, 3.363368380684709;Hauts-de-France;Aisne
"{""coordinates"": [[3.333186154663539, 49.68842647538576], [3.333103720907197, 49.689347028686434], [3.334902201677161, 49.69937251715331], [3.339907330406201, 49.74476344568213], [3.341913767299174, 49.75034694147203]], ""type"": ""LineString""}";5329;49.71948983224687, 3.3371211340896765;Hauts-de-France;Aisne
"{""coordinates"": [[3.333103720907197, 49.689347028686434], [3.366377982972142, 49.702743330236906]], ""type"": ""LineString""}";5330;49.69604517946167, 3.3497408519396696;Hauts-de-France;Aisne
"{""coordinates"": [[3.333120778956891, 49.687508041926925], [3.34761524393444, 49.6687372053722], [3.349680665234371, 49.662201810779344]], ""type"": ""LineString""}";5331;49.67528568010509, 3.342224449972525;Hauts-de-France;Aisne
"{""coordinates"": [[3.335511241902646, 49.65785565640538], [3.341618823420805, 49.65463209096772]], ""type"": ""LineString""}";5355;49.65624387368655, 3.3385650326617258;Hauts-de-France;Aisne
"{""coordinates"": [[3.397418208648681, 49.60307577032123], [3.39529008352719, 49.60859088570305], [3.395283936883673, 49.609358327835906], [3.395032756243869, 49.60960535441848]], ""type"": ""LineString""}";5356;49.606359010009825, 3.396177751752447;Hauts-de-France;Aisne
"{""coordinates"": [[3.470273829954717, 49.57994111308019], [3.476877006132853, 49.58123528368666], [3.479884446548205, 49.58294790348045], [3.480389862475974, 49.58323954691092], [3.481100256828679, 49.583328291657175], [3.496092664397399, 49.58277031558063], [3.496198710007224, 49.5827707900067]], ""type"": ""LineString""}";5359;49.582308250798796, 3.4831003347830367;Hauts-de-France;Aisne
"{""coordinates"": [[3.271935770034124, 49.675909159153186], [3.271947751097572, 49.675917668759105], [3.28037044997918, 49.69203156844741], [3.276509628413915, 49.7010990468132], [3.276375437627936, 49.70487184682529]], ""type"": ""LineString""}";5362;49.69012448494674, 3.276897052516665;Hauts-de-France;Aisne
"{""coordinates"": [[3.496166214808394, 49.58269927140492], [3.533681007315513, 49.577659545951924], [3.562570747990177, 49.574038307261844], [3.568012464401773, 49.57355774157349], [3.586476469167839, 49.57164752155448]], ""type"": ""LineString""}";5367;49.576864972648146, 3.5412849658324497;Hauts-de-France;Aisne
"{""coordinates"": [[3.602729255777847, 49.57274514533174], [3.590160093583666, 49.58027776939524], [3.560223073924275, 49.57631493311686], [3.533739598268811, 49.57772127060413], [3.496198710007224, 49.5827707900067]], ""type"": ""LineString""}";5369;49.57842263565288, 3.55031419176423;Hauts-de-France;Aisne
"{""coordinates"": [[3.336711652336805, 49.409587990889214], [3.337488088215743, 49.40960209698585], [3.361415412868793, 49.40888194586228], [3.363901573495898, 49.39561926744133], [3.364862108816679, 49.39470509036334]], ""type"": ""LineString""}";5372;49.40639042964299, 3.3542175536145127;Hauts-de-France;Aisne
"{""coordinates"": [[3.124200116135981, 49.39471934754982], [3.176166178044082, 49.39325912505216], [3.199549427506038, 49.39076189942401]], ""type"": ""LineString""}";5380;49.39337293980529, 3.1619173543554906;Hauts-de-France;Aisne
"{""coordinates"": [[3.108813197660981, 49.393430004387], [3.112237541997031, 49.39673959328881]], ""type"": ""LineString""}";5384;49.3950847988379, 3.1105253698290056;Hauts-de-France;Aisne
"{""coordinates"": [[3.898462347282128, 50.19071293070842], [3.894954725474669, 50.20478049735499], [3.89198106758962, 50.21634337985419], [3.889005382300983, 50.227729865181026]], ""type"": ""LineString""}";5396;50.20923351063209, 3.8937813289985606;Hauts-de-France;Nord
"{""coordinates"": [[3.952185883381763, 49.992197997302966], [3.934062591443916, 50.02719645393827], [3.922520241711617, 50.04845750391142], [3.917052041364958, 50.0611495949757]], ""type"": ""LineString""}";5398;50.02653793416513, 3.934323823819061;Hauts-de-France;Aisne
"{""coordinates"": [[4.014422467124173, 49.91778696574093], [4.004918341409899, 49.92572923267101], [3.996081498203664, 49.92981056111546]], ""type"": ""LineString""}";5416;49.92440361134938, 4.005634901200801;Hauts-de-France;Aisne
